"year","month","day","load"
2013,1,22,22502
2013,1,22,23484
2013,1,22,24499
2013,1,22,24855
2013,1,22,24992
2013,1,22,24555
2013,1,22,24595
2013,1,22,24813
2013,1,22,24797
2013,1,22,25200
2013,1,22,26278
2013,1,22,26546
2013,1,22,26360
2013,1,22,26086
2013,1,22,25411
2013,1,22,24456
2013,1,22,22955
2013,1,23,21821
2013,1,23,20570
2013,1,23,19940
2013,1,23,19785
2013,1,23,19861
2013,1,23,20112
2013,1,23,20963
2013,1,23,22577
2013,1,23,23831
2013,1,23,24756
2013,1,23,25323
2013,1,23,25572
2013,1,23,25174
2013,1,23,25170
2013,1,23,25276
2013,1,23,25234
2013,1,23,25697
2013,1,23,26571
2013,1,23,26905
2013,1,23,26357
2013,1,23,26189
2013,1,23,25605
2013,1,23,24858
2013,1,23,22963
2013,1,24,21937
2013,1,24,20789
2013,1,24,20341
2013,1,24,19880
2013,1,24,20029
2013,1,24,20323
2013,1,24,21222
2013,1,24,23021
2013,1,24,24026
2013,1,24,25036
2013,1,24,25567
2013,1,24,25531
2013,1,24,25065
2013,1,24,25006
2013,1,24,25133
2013,1,24,25103
2013,1,24,25481
2013,1,24,26425
2013,1,24,27174
2013,1,24,26807
2013,1,24,26460
2013,1,24,26011
2013,1,24,25053
2013,1,24,23276
2013,1,25,22249
2013,1,25,21326
2013,1,25,20615
2013,1,25,20473
2013,1,25,20409
2013,1,25,20964
2013,1,25,21735
2013,1,25,23325
2013,1,25,24525
2013,1,25,25629
2013,1,25,26105
2013,1,25,26061
2013,1,25,25951
2013,1,25,26005
2013,1,25,25890
2013,1,25,25800
2013,1,25,25973
2013,1,25,27120
2013,1,25,27377
2013,1,25,26933
2013,1,25,26664
2013,1,25,25917
2013,1,25,25263
2013,1,25,23759
2013,1,26,22792
2013,1,26,21604
2013,1,26,20969
2013,1,26,20815
2013,1,26,20839
2013,1,26,20693
2013,1,26,21329
2013,1,26,21733
2013,1,26,22307
2013,1,26,23701
2013,1,26,24322
2013,1,26,24863
2013,1,26,24862
2013,1,26,24865
2013,1,26,24788
2013,1,26,24550
2013,1,26,24730
2013,1,26,26012
2013,1,26,27041
2013,1,26,26805
2013,1,26,26059
2013,1,26,25584
2013,1,26,24738
2013,1,26,23560
2013,1,27,22421
2013,1,27,21466
2013,1,27,21028
2013,1,27,20712
2013,1,27,20631
2013,1,27,20726
2013,1,27,21111
2013,1,27,21171
2013,1,27,21810
2013,1,27,23078
2013,1,27,23841
2013,1,27,24475
2013,1,27,24505
2013,1,27,24251
2013,1,27,24171
2013,1,27,24213
2013,1,27,24685
2013,1,27,25735
2013,1,27,26797
2013,1,27,26495
2013,1,27,26218
2013,1,27,25725
2013,1,27,24833
2013,1,27,23397
2013,1,28,22462
2013,1,28,21337
2013,1,28,20811
2013,1,28,20623
2013,1,28,20569
2013,1,28,21057
2013,1,28,22091
2013,1,28,23756
2013,1,28,25072
2013,1,28,26421
2013,1,28,26859
2013,1,28,26924
2013,1,28,26697
2013,1,28,26537
2013,1,28,26589
2013,1,28,26475
2013,1,28,26708
2013,1,28,27204
2013,1,28,28028
2013,1,28,27449
2013,1,28,27073
2013,1,28,26391
2013,1,28,25420
2013,1,28,23627
2013,1,29,22573
2013,1,29,21361
2013,1,29,21000
2013,1,29,20793
2013,1,29,20613
2013,1,29,21099
2013,1,29,22156
2013,1,29,23561
2013,1,29,24740
2013,1,29,25918
2013,1,29,26263
2013,1,29,26326
2013,1,29,26072
2013,1,29,25885
2013,1,29,26025
2013,1,29,25932
2013,1,29,26252
2013,1,29,26928
2013,1,29,27611
2013,1,29,27260
2013,1,29,26810
2013,1,29,26406
2013,1,29,25187
2013,1,29,23462
2013,1,30,22629
2013,1,30,21339
2013,1,30,20698
2013,1,30,20532
2013,1,30,20651
2013,1,30,21092
2013,1,30,21835
2013,1,30,23507
2013,1,30,24505
2013,1,30,25529
2013,1,30,26082
2013,1,30,26110
2013,1,30,25715
2013,1,30,25631
2013,1,30,25390
2013,1,30,25463
2013,1,30,25795
2013,1,30,26455
2013,1,30,27346
2013,1,30,26913
2013,1,30,26657
2013,1,30,26138
2013,1,30,25080
2013,1,30,23535
2013,1,31,22559
2013,1,31,21357
2013,1,31,20780
2013,1,31,20568
2013,1,31,20634
2013,1,31,21107
2013,1,31,22067
2013,1,31,23580
2013,1,31,24716
2013,1,31,25696
2013,1,31,26179
2013,1,31,26109
2013,1,31,25813
2013,1,31,25462
2013,1,31,25427
2013,1,31,25543
2013,1,31,25726
2013,1,31,26363
2013,1,31,27113
2013,1,31,26841
2013,1,31,26330
2013,1,31,25785
2013,1,31,24596
2013,1,31,23059
2013,2,1,21794
2013,2,1,20912
2013,2,1,20260
2013,2,1,20075
2013,2,1,20049
2013,2,1,20313
2013,2,1,21296
2013,2,1,22800
2013,2,1,23728
2013,2,1,24607
2013,2,1,24835
2013,2,1,24984
2013,2,1,24722
2013,2,1,24545
2013,2,1,24637
2013,2,1,24464
2013,2,1,24737
2013,2,1,25688
2013,2,1,26442
2013,2,1,26049
2013,2,1,25591
2013,2,1,24974
2013,2,1,24165
2013,2,1,22785
2013,2,2,21779
2013,2,2,20768
2013,2,2,20049
2013,2,2,19730
2013,2,2,19754
2013,2,2,19846
2013,2,2,20270
2013,2,2,20612
2013,2,2,21184
2013,2,2,22494
2013,2,2,23272
2013,2,2,23574
2013,2,2,23567
2013,2,2,23477
2013,2,2,23318
2013,2,2,23077
2013,2,2,23588
2013,2,2,24660
2013,2,2,25795
2013,2,2,25473
2013,2,2,24768
2013,2,2,24031
2013,2,2,23514
2013,2,2,22065
2013,2,3,21127
2013,2,3,20148
2013,2,3,19533
2013,2,3,19344
2013,2,3,19155
2013,2,3,19227
2013,2,3,19588
2013,2,3,19895
2013,2,3,20007
2013,2,3,21264
2013,2,3,22153
2013,2,3,22635
2013,2,3,22634
2013,2,3,22549
2013,2,3,22822
2013,2,3,22710
2013,2,3,23198
2013,2,3,24207
2013,2,3,25342
2013,2,3,24951
2013,2,3,24583
2013,2,3,24315
2013,2,3,23370
2013,2,3,21833
2013,2,4,20812
2013,2,4,20077
2013,2,4,19493
2013,2,4,19224
2013,2,4,19197
2013,2,4,19608
2013,2,4,20429
2013,2,4,22273
2013,2,4,23074
2013,2,4,24398
2013,2,4,24979
2013,2,4,25000
2013,2,4,24776
2013,2,4,24856
2013,2,4,24902
2013,2,4,24763
2013,2,4,24939
2013,2,4,25531
2013,2,4,26503
2013,2,4,26254
2013,2,4,25811
2013,2,4,25227
2013,2,4,24279
2013,2,4,22696
2013,2,5,21463
2013,2,5,20495
2013,2,5,20010
2013,2,5,19878
2013,2,5,19917
2013,2,5,20206
2013,2,5,21196
2013,2,5,22793
2013,2,5,23635
2013,2,5,24610
2013,2,5,24835
2013,2,5,24748
2013,2,5,24515
2013,2,5,24142
2013,2,5,24376
2013,2,5,24118
2013,2,5,24356
2013,2,5,25073
2013,2,5,26314
2013,2,5,26194
2013,2,5,25860
2013,2,5,25201
2013,2,5,24368
2013,2,5,22636
2013,2,6,21231
2013,2,6,20464
2013,2,6,19779
2013,2,6,19598
2013,2,6,19672
2013,2,6,20132
2013,2,6,20847
2013,2,6,22623
2013,2,6,23396
2013,2,6,24323
2013,2,6,24614
2013,2,6,24563
2013,2,6,24246
2013,2,6,23970
2013,2,6,24088
2013,2,6,23896
2013,2,6,24157
2013,2,6,24954
2013,2,6,26107
2013,2,6,25969
2013,2,6,25460
2013,2,6,24784
2013,2,6,24154
2013,2,6,22371
2013,2,7,21225
2013,2,7,20186
2013,2,7,19817
2013,2,7,19557
2013,2,7,19551
2013,2,7,19956
2013,2,7,20765
2013,2,7,22373
2013,2,7,23329
2013,2,7,24536
2013,2,7,25076
2013,2,7,25155
2013,2,7,24843
2013,2,7,24899
2013,2,7,24774
2013,2,7,24557
2013,2,7,24785
2013,2,7,25291
2013,2,7,26283
2013,2,7,25836
2013,2,7,25445
2013,2,7,24897
2013,2,7,24343
2013,2,7,22438
2013,2,8,21283
2013,2,8,20164
2013,2,8,19586
2013,2,8,19473
2013,2,8,19522
2013,2,8,19917
2013,2,8,20954
2013,2,8,22298
2013,2,8,23305
2013,2,8,24234
2013,2,8,24698
2013,2,8,24636
2013,2,8,24328
2013,2,8,24220
2013,2,8,24194
2013,2,8,23970
2013,2,8,24242
2013,2,8,24661
2013,2,8,25911
2013,2,8,25526
2013,2,8,24969
2013,2,8,24581
2013,2,8,23585
2013,2,8,22339
2013,2,9,21096
2013,2,9,19995
2013,2,9,19515
2013,2,9,18999
2013,2,9,19121
2013,2,9,19244
2013,2,9,19561
2013,2,9,19884
2013,2,9,20698
2013,2,9,22155
2013,2,9,22956
2013,2,9,23562
2013,2,9,23649
2013,2,9,23819
2013,2,9,23501
2013,2,9,23773
2013,2,9,23835
2013,2,9,24456
2013,2,9,25553
2013,2,9,25256
2013,2,9,24528
2013,2,9,24023
2013,2,9,23324
2013,2,9,22037
2013,2,10,21098
2013,2,10,19966
2013,2,10,19333
