"RMSE_k_fold","Rsquare_k_fold","MAE_k_fold","index"
348.835017985552,0.9666654033268,288.650888508394,487
420.368244090494,0.935541033883186,361.530787413291,488
393.349364871819,0.964556299171831,312.073521209842,489
367.901978970615,0.969341899309363,286.921892857022,490
505.637321620883,0.931556558603176,398.557826721777,491
486.006336064231,0.920787593214571,387.949047721113,492
426.97791267873,0.948618566390404,347.245542303814,493
473.693989138999,0.926458476029297,386.478112617225,494
319.995862607742,0.9761340066713,246.406037498249,495
490.540672320465,0.948447603129697,391.869724419506,496
394.889050916866,0.963487793705101,300.830658254323,497
394.659802015015,0.97157839499161,310.404534869362,498
402.22783622506,0.966380358099521,322.787783219473,499
392.351656679227,0.962230268399459,316.112085453056,500
726.459822404145,0.805906484706398,564.886194329109,501
371.887575513801,0.960482041782168,293.132928825697,502
350.153015055237,0.968066280727345,283.195981106476,503
406.927022453572,0.943649881539012,346.439565304076,504
409.451264040936,0.953538978234984,333.95022418187,505
482.142477495463,0.959955643048003,369.893765357788,506
358.225675408125,0.974147669737783,276.177408621522,507
419.443375465165,0.942850186597196,355.113961093051,508
431.604661438928,0.932876083651953,364.168574698495,509
378.134735593444,0.968495442880039,291.253816661967,510
376.397659343456,0.962254087061302,308.879923245955,511
365.380701961062,0.972020223592417,282.94498046239,512
429.20167535462,0.931433142529615,335.487492517063,513
367.985984179374,0.96807283467007,293.13458483745,514
357.975725265791,0.968109213963194,295.428616794738,515
339.881610298939,0.971198862974556,274.128142653128,516
374.494770543049,0.964365366903324,289.486544360189,517
352.500424539998,0.973278529053837,273.166587527307,518
363.821705128221,0.978203125121253,293.9868079783,519
365.984793263296,0.969580876361856,287.653142475946,520
416.966641307161,0.957617167487225,334.077986773848,521
493.372335928507,0.929846244658289,382.581112365834,522
363.330719049373,0.968847673551575,289.244723236959,523
394.567406974991,0.939363748363761,322.529267028919,524
367.521118948038,0.969507610285775,281.224786193298,525
558.830210789253,0.876423541292822,428.279097050171,526
361.050788762349,0.972172536228819,284.329589331535,527
432.516590733816,0.937932979078887,364.2264197123,528
359.943515606246,0.97167424850167,279.375210892789,529
345.001790477447,0.97206558324787,282.570106687454,530
434.715095169046,0.946837251506194,357.025006507219,531
509.584047233332,0.913195223602013,397.614589793933,532
422.037514408445,0.968179497586065,324.535151592756,533
390.501584420003,0.965497736089173,312.291272304375,534
417.673143069886,0.935298020653906,338.358736791053,535
337.385153484799,0.970809481988475,261.766321118607,536
330.08066979818,0.974503752682978,249.314855001411,537
338.749202762684,0.974930415799521,263.448055127574,538
354.517186022267,0.96942134186929,285.940848882919,539
341.712101032788,0.973108269269627,269.389387831223,540
473.630386916273,0.943313291570376,356.790230384063,541
417.649039599216,0.959605275771222,324.418781178696,542
368.753868117202,0.953069528799397,304.688173649787,543
381.300165069069,0.975818121507317,304.355130857926,544
809.612287774982,0.783315029851907,629.603768800588,545
379.067192739404,0.958507466821697,284.441359945413,546
347.053443644742,0.965571423913834,269.187285578874,547
451.086595970955,0.952961392240986,362.306063810276,548
354.945273792738,0.966862314349224,287.517575456057,549
362.891922920323,0.95095963429799,319.596563533534,550
492.226889358705,0.935497103853857,366.936787233537,551
322.058890764078,0.975354124520105,248.376919982173,552
428.166134504651,0.942667312162502,359.704246010088,553
365.173126075549,0.962389577351825,292.410896433717,554
388.702411257345,0.969629925119025,303.011939876562,555
409.156656606939,0.947105149402152,317.904698822888,556
426.8404768998,0.942141015387936,360.447561844525,557
519.288183221108,0.924185870414964,403.075943366775,558
783.459450952191,0.791108510403897,603.873994328623,559
413.907216263408,0.935404394686018,347.631501932014,560
431.319881075426,0.937127655672737,369.170973633273,561
394.516291703719,0.946561037064338,309.133752709291,562
341.429151983511,0.96878902396676,273.276819508296,563
356.460091209792,0.965778969712541,299.811231684936,564
373.992099670602,0.964225467582103,286.638169034197,565
340.069707151792,0.968771834763389,266.920470201303,566
508.789684249455,0.927904153147624,393.624948378737,567
384.760134238779,0.959336851152563,297.374531948643,568
503.120632341371,0.916798579883905,403.13211085405,569
373.849650988929,0.949526029248932,306.130172060201,570
526.940080727385,0.928853425508744,419.864242331517,571
330.459699588584,0.972621229512416,255.877197743881,572
341.801452887369,0.967927098301349,277.644561908166,573
349.448446603404,0.975006917427749,268.712195320633,574
498.985728956893,0.936080038209414,385.520685614121,575
544.117228344205,0.922465123993298,418.350761711838,576
500.535441727035,0.909978652084239,393.023047659113,577
376.272647510418,0.950705647198491,306.690432724652,578
480.649140009399,0.947910974101048,385.617591534127,579
340.411376089287,0.968035145418872,266.642449969124,580
370.928242926224,0.949749058010924,282.28329467614,581
406.990822078266,0.936037667551705,310.879673621158,582
360.782295804276,0.967497622326664,282.132314255599,583
364.39460367853,0.954250028540728,297.58548233759,584
353.936472798923,0.97160726310543,280.797403056856,585
347.551547617668,0.969329961024261,278.601417959823,586
367.783714801477,0.969670299733776,292.800862311547,587
549.37357948282,0.924160764155901,412.285021137004,588
341.819895702569,0.970331806309509,272.558520111764,589
347.424735675769,0.966789421316915,278.045229799765,590
360.729100501347,0.97255164577304,279.462672932607,591
364.589567202986,0.955613322037839,290.041072284418,592
354.066492313044,0.959740476565325,277.457345133429,593
345.727193953639,0.973296852998649,276.542657096985,594
524.573743588118,0.925632438236913,414.218417355497,595
489.012667012362,0.916774047838629,396.868979153513,596
365.822798686224,0.966042667667442,287.441777419967,597
394.417939353028,0.95781177472691,313.348399267189,598
481.177127185253,0.934761862243517,370.410720220792,599
482.897595792892,0.947511399332641,385.816931276836,600
463.054194255165,0.944222906118641,379.60537383176,601
355.995757291049,0.972433672331097,276.042818322034,602
452.360449760207,0.965792292155988,361.837372231917,603
364.332226076414,0.948360627712575,300.297154307467,604
566.604141285453,0.926684189954392,454.505863757147,605
558.81593534874,0.924382972282541,437.460408134056,606
421.409433941228,0.933253131826276,332.400802914509,607
402.158527265049,0.964996437766977,329.796601716111,608
352.32431199521,0.966440244341951,297.178680175442,609
400.618405930713,0.966064586112284,325.033019630167,610
438.202501915389,0.944626659438485,363.329500598097,611
332.065848351275,0.975187158480658,261.363498778207,612
442.580909514393,0.944587698994412,366.374465493094,613
361.385841163592,0.97223435700366,284.080565027126,614
319.377811158609,0.972524252964122,249.583003033589,615
457.923342560313,0.926123907181286,377.745169372794,616
384.433595985017,0.963943566723488,306.660956509216,617
376.025941830851,0.956636036381189,305.064123050985,618
362.294161738417,0.96439245355741,306.318186168468,619
347.99941869613,0.971016754866459,285.488337832995,620
421.452629724594,0.923642751713034,336.214370205434,621
410.816970577039,0.95994941381738,315.539737121787,622
558.39912781789,0.931913351875715,423.615950262103,623
385.591391242923,0.955751232197929,308.126702326432,624
470.441805290642,0.936493057020239,368.703050056158,625
484.022675357273,0.949098672825972,368.809172157851,626
472.110484835541,0.952731634956537,374.050712571624,627
361.072919315279,0.965430885600024,287.8775684128,628
402.114514913018,0.954043217875979,311.791103742474,629
417.724873435431,0.962618486342663,338.404141829317,630
364.18221479931,0.970425477346127,283.098774825047,631
384.684435402009,0.963817801688915,329.068221904332,632
388.519373489123,0.966591472876504,323.030212501113,633
404.523637367046,0.956816408502918,311.987177078302,634
390.741607929234,0.962189118309679,308.413423460804,635
378.981958668104,0.973822939466952,292.013336007098,636
336.633798965577,0.974470534481311,264.81402974645,637
404.054062033426,0.933926597311104,328.124161522809,638
471.127564067672,0.919268584274238,380.140319882552,639
387.326654468861,0.959596530324498,319.591339238585,640
384.729044756226,0.957493493931033,303.450097443714,641
365.047216976319,0.964248224343477,287.809461209994,642
423.723999124359,0.93351746600444,345.542466842952,643
563.703059879311,0.924911335144538,457.599133156934,644
354.629544475511,0.96528527011133,297.987249881457,645
382.444460296637,0.964196445637755,317.620024249929,646
423.979806611196,0.922837185455552,366.16196626056,647
373.903601639888,0.948119714736294,319.38083804183,648
390.226731649818,0.963868373386965,301.995745434349,649
361.907847915805,0.961091528725646,287.158509120257,650
421.399093940752,0.956205292375635,335.093330150746,651
414.992514614328,0.962505374077534,317.044167898435,652
530.207920388563,0.9368265508912,426.861222933742,653
421.559793726931,0.917175078564425,359.976272198701,654
372.018440282751,0.969592833123928,289.335362602795,655
403.840129409302,0.958015704742401,336.412520828045,656
370.086161976669,0.965191549409083,297.178643756301,657
370.762824809527,0.958796167855812,280.077681051119,658
368.641358207721,0.967256024962683,296.11809717877,659
483.112530045249,0.955007200456877,366.213866681724,660
367.209145998723,0.96452598651757,295.098716076467,661
339.605991341213,0.967501567962305,268.26881161665,662
385.36192728273,0.965844562696242,315.975725689762,663
330.052909522413,0.969367247000044,260.85804223171,664
321.300383315025,0.975662667949198,248.249178110736,665
341.466418562086,0.965391396487445,275.739094915698,666
445.586491404092,0.953198556232207,349.772579416251,667
493.699925778773,0.960784772714523,381.090687569685,668
435.416276816894,0.9277639846036,334.324792744472,669
351.194435729047,0.957874342285314,290.882682787845,670
402.826119247525,0.962180618825481,314.432894902523,671
405.502480320689,0.962748725365269,317.156336991198,672
368.037108092313,0.969519834859798,291.249736891604,673
394.729378822181,0.947895112408625,315.528007567881,674
382.619732994328,0.965724211617579,300.304492099019,675
350.643393743988,0.948460089893044,291.38457310667,676
369.038275124883,0.967003129761041,296.203013880547,677
368.250571621704,0.969097797715605,296.487388950677,678
418.903858446962,0.960208183923711,325.751424350316,679
398.873863090835,0.920675425671723,335.711120883938,680
343.942783077006,0.967958601642413,269.625718268791,681
424.175462625823,0.960682368087347,351.528559909547,682
436.985817356962,0.957462863486034,353.03759380473,683
392.994880634925,0.965784379895847,324.003211324474,684
378.004460620116,0.971600771558662,288.787222417095,685
364.572057804332,0.981980008177475,289.402249618146,686
398.583288273191,0.935590801598154,306.01082716123,687
368.808814243789,0.966687782194859,295.262015828744,688
449.403397806776,0.929792346167166,360.222692917408,689
377.629390834387,0.966996641964264,304.499382830849,690
392.598009493925,0.961612679508268,314.128376865358,691
392.269769549848,0.951939864546992,313.87247006762,692
340.107922495427,0.964145747567917,267.718108641905,693
344.717942634466,0.967958485949239,266.725999673908,694
362.455764394523,0.971415563801325,283.699352227635,695
406.370782402321,0.937176883592444,340.157682707562,696
430.244670168285,0.931341338997663,352.326746134354,697
358.748500866556,0.961524633062737,278.2796569471,698
374.110040949779,0.956780499609115,297.4040944336,699
411.418725138523,0.944330184793514,332.567769962029,700
372.328415055564,0.95162678134774,273.897213978081,701
380.612778429968,0.953512207939878,304.275379050985,702
495.225040410192,0.946501089206694,387.838070106935,703
391.073152225819,0.967348575085898,301.326264868465,704
381.221519406529,0.970200387331006,297.102749900925,705
397.541795796743,0.967292923375704,317.118082900077,706
431.933206236403,0.953501067575801,341.365483278932,707
634.243213591083,0.896718520722644,515.247114895351,708
420.898394733962,0.960733208384883,328.508739032107,709
388.043484165743,0.964210162746903,328.535986510216,710
338.767882181507,0.974073368878415,268.639052963995,711
384.655818243276,0.954040961613374,324.463032363991,712
352.853464322761,0.977137634314711,272.733501571413,713
443.624920911366,0.956172383969884,358.678601272041,714
404.241609690395,0.96112149721309,320.341266012031,715
382.658199861234,0.971084226678414,320.183027913177,716
315.263708832109,0.975158662324336,249.9999084276,717
466.779832582916,0.95259573618817,387.156366275251,718
436.033777519826,0.949517540635258,347.032263563843,719
373.387365002247,0.965888874889731,309.55764660574,720
369.729669821789,0.964582331007212,306.298434636286,721
442.910296788782,0.927768567387545,347.364093074132,722
387.663891863798,0.955514615034913,293.596156100977,723
340.025774257373,0.976123526745761,265.993480649051,724
527.92522928244,0.92953245043584,400.55025210752,725
371.97794712989,0.969969647620628,286.769249950095,726
424.658766626144,0.96127758100283,338.32643502099,727
